Owner_info,Bhk_info,price,Locality,Area_sqft,status,price_per_sqft
OWNER,Residential Plot, 1.13 Cr,Almasguda,2700 ,ResaleNew/Resale,"4,211 / sq ft"
OWNER,2 , 72 L,Godumakunta,1550 ,Ready to moveConstruction Status,"4,645 / sq ft"
OWNER,2 , 80 L,Kukatpally,1126 ,Ready to moveConstruction Status,"7,104 / sq ft"
OWNER,2 , 37 L,Chandanagar,1020 ,Under ConstructionConstruction Status,"3,627 / sq ft"
OWNER,Residential Plot, 80 L,Shamirpet,2925 ,ResaleNew/Resale,"2,735 / sq ft"
OWNER,Residential Plot, 20 L,Kothur,2160 ,ResaleNew/Resale,925 / sq ft
OWNER,Residential Plot, 45 L,Gollur,3285 ,ResaleNew/Resale,"1,369 / sq ft"
OWNER,Residential Plot, 45 L,Gollur,3285 ,ResaleNew/Resale,"1,369 / sq ft"
OWNER,Residential Plot, 45 L,Gollur,3285 ,ResaleNew/Resale,"1,369 / sq ft"
OWNER,Residential Plot, 45 L,Gollur,3285 ,ResaleNew/Resale,"1,369 / sq ft"
OWNER,Residential Plot, 45 L,Gollur,3285 ,ResaleNew/Resale,"1,369 / sq ft"
OWNER,Residential Plot, 45 L,Gollur,3285 ,ResaleNew/Resale,"1,369 / sq ft"
OWNER,3 , 86 L,Kondapur,1515 ,Ready to moveConstruction Status,"5,676 / sq ft"
OWNER,2 , 47.5 L,Yapral,1125 ,Under ConstructionConstruction Status,"4,222 / sq ft"
OWNER,3 , 77.98 L,Hayathnagar,1654 ,Under ConstructionConstruction Status,"4,715 / sq ft"
OWNER,3 , 92.5 L,Kompally,1700 ,Ready to moveConstruction Status,"5,441 / sq ft"
OWNER,2 , 40 L,LB Nagar,755 ,Ready to moveConstruction Status,"5,298 / sq ft"
OWNER,2 , 35 L,Kollur,1170 ,Under ConstructionConstruction Status,"2,991 / sq ft"
OWNER,2 , 40 L,LB Nagar,755 ,Ready to moveConstruction Status,"5,298 / sq ft"
